tile_id,filename,tile_x,tile_y,rotate
0,packs/terrain.png,0,0,0
1,packs/terrain.png,1,0,0
2,packs/terrain.png,2,0,0
3,packs/terrain.png,3,0,0
4,packs/terrain.png,4,0,0
6,packs/terrain.png,5,0,0
7,packs/terrain.png,6,0,0
8,packs/terrain.png,5,0,0
9,packs/terrain.png,4,0,0
10,packs/terrain.png,1,0,0
11,packs/terrain.png,5,0,0
12,packs/terrain.png,3,0,0
13,packs/terrain.png,3,0,0
14,packs/terrain.png,5,0,0
15,packs/terrain.png,7,0,0
16,packs/terrain.png,3,0,0
17,packs/terrain.png,2,0,0
18,packs/terrain.png,3,0,0
23,packs/materials.png,0,0,0
24,packs/materials.png,1,0,0
25,packs/materials.png,2,0,0
26,packs/machines.png,0,0,0
27,packs/machines.png,1,0,0
28,packs/machines.png,2,0,0
29,packs/machines.png,3,0,0
30,packs/machines.png,4,0,0
31,packs/machines.png,5,0,0
32,packs/machines.png,6,0,0
33,packs/machines.png,7,0,0
34,packs/machines.png,8,0,0
35,packs/machines.png,9,0,0
36,packs/machines.png,10,0,0
37,packs/ores.png,0,0,0
38,packs/ores.png,1,0,0
39,packs/ores.png,2,0,0
40,packs/terrain.png,0,0,0
41,packs/terrain.png,1,0,0
42,packs/terrain.png,4,0,0
43,packs/terrain.png,5,0,0
44,packs/terrain.png,6,0,0
45,packs/machines.png,11,0,0
46,packs/transport.png,0,0,0
